Time (s),Gyro Heading (°),Ground Truth Heading (°),Heading Error (°),Improved_Heading,Improved_Error
0.0,0.0,7.62,7.62,0.0,7.62
0.0,359.94,7.62,7.68,359.94,7.680000000000007
0.02,359.88,7.62,7.74,359.88,7.740000000000009
0.02,359.83,7.62,7.79,359.83,7.7900000000000205
0.03,359.73,7.62,7.89,359.73,7.889999999999986
0.04,359.7,7.62,7.92,359.7,7.920000000000016
0.05,359.67,7.62,7.95,359.67,7.949999999999989
0.06,359.66,7.62,7.96,359.66,7.9599999999999795
0.07,359.64,7.62,7.98,359.64,7.980000000000018
0.08,359.61,7.62,8.01,359.61,8.009999999999991
0.09,359.59,7.62,8.03,359.59,8.03000000000003
0.1,359.57,7.62,8.05,359.57,8.050000000000011
0.12,359.52,7.62,8.1,359.52,8.100000000000023
0.12,359.46,7.62,8.16,359.46,8.160000000000025
0.14,359.33,7.62,8.29,359.33,8.29000000000002
0.14,359.27,7.62,8.35,359.27,8.350000000000023
0.16,359.23,7.62,8.39,359.23,8.389999999999986
0.16,359.2,7.62,8.42,359.2,8.420000000000016
0.17,359.17,7.62,8.45,359.17,8.449999999999989
0.18,359.15,7.62,8.47,359.15,8.470000000000027
0.19,359.11,7.62,8.51,359.11,8.509999999999991
0.2,359.09,7.62,8.53,359.09,8.53000000000003
0.21,359.06,7.62,8.56,359.06,8.560000000000002
0.22,359.02,7.62,8.6,359.02,8.600000000000023
0.23,358.99,7.62,8.63,358.99,8.629999999999995
0.24,358.92,7.62,8.7,358.92,8.699999999999989
0.25,358.88,7.62,8.74,358.88,8.740000000000009
0.26,358.85,7.62,8.77,358.85,8.769999999999982
0.27,358.82,7.62,8.8,358.82,8.800000000000011
0.28,358.79,7.62,8.83,358.79,8.829999999999984
0.29,358.73,7.62,8.89,358.73,8.889999999999986
0.3,358.7,7.62,8.92,358.7,8.920000000000016
0.31,358.67,7.62,8.95,358.67,8.949999999999989
0.32,358.64,7.62,8.98,358.64,8.980000000000018
0.33,358.61,7.62,9.01,358.61,9.009999999999991
0.34,358.54,7.62,9.08,358.54,9.079999999999984
0.35,358.51,7.62,9.11,358.51,9.110000000000014
0.36,358.49,7.62,9.13,358.49,9.129999999999995
0.37,358.47,7.62,9.15,358.47,9.149999999999977
0.38,358.47,7.62,9.15,358.47,9.149999999999977
0.39,358.47,7.62,9.15,358.47,9.149999999999977
0.4,358.47,7.62,9.15,358.47,9.149999999999977
0.41,358.48,7.62,9.14,358.48,9.139999999999986
0.42,358.48,7.62,9.14,358.48,9.139999999999986
0.43,358.5,7.62,9.12,358.5,9.120000000000005
0.44,358.51,7.62,9.11,358.51,9.110000000000014
0.45,358.53,7.62,9.09,358.53,9.090000000000032
0.46,358.53,7.62,9.09,358.53,9.090000000000032
0.47,358.54,7.62,9.08,358.54,9.079999999999984
0.48,358.53,7.62,9.09,358.53,9.090000000000032
0.49,358.53,7.62,9.09,358.53,9.090000000000032
0.5,358.52,7.62,9.1,358.52,9.100000000000023
0.51,358.53,7.62,9.09,358.53,9.090000000000032
0.52,358.53,7.62,9.09,358.53,9.090000000000032
0.53,358.54,7.62,9.08,358.54,9.079999999999984
0.54,358.55,7.62,9.07,358.55,9.069999999999993
0.55,358.56,7.62,9.06,358.56,9.060000000000002
0.56,358.56,7.62,9.06,358.56,9.060000000000002
0.57,358.56,7.62,9.06,358.56,9.060000000000002
0.58,358.54,7.62,9.08,358.54,9.079999999999984
0.59,358.52,7.62,9.1,358.52,9.100000000000023
0.6,358.49,7.62,9.13,358.49,9.129999999999995
0.61,358.47,7.62,9.15,358.47,9.149999999999977
0.62,358.45,7.62,9.17,358.45,9.170000000000016
0.63,358.45,7.62,9.17,358.45,9.170000000000016
0.64,358.45,7.62,9.17,358.45,9.170000000000016
0.65,358.48,7.62,9.14,358.48,9.139999999999986
0.66,358.5,7.62,9.12,358.5,9.120000000000005
0.67,358.52,7.62,9.1,358.52,9.100000000000023
0.68,358.54,7.62,9.08,358.54,9.079999999999984
0.69,358.56,7.62,9.06,358.56,9.060000000000002
0.7,358.6,7.62,9.02,358.6,9.019999999999982
0.71,358.69,7.62,8.93,358.69,8.930000000000007
0.72,358.74,7.62,8.88,358.74,8.879999999999995
0.73,358.8,7.62,8.82,358.8,8.819999999999993
0.74,358.86,7.62,8.76,358.86,8.759999999999991
0.75,358.91,7.62,8.71,358.91,8.70999999999998
0.76,359.02,7.62,8.6,359.02,8.600000000000023
0.77,359.07,7.62,8.55,359.07,8.550000000000011
0.78,359.12,7.62,8.5,359.12,8.5
0.79,359.17,7.62,8.45,359.17,8.449999999999989
0.8,359.21,7.62,8.41,359.21,8.410000000000025
0.81,359.33,7.62,8.29,359.33,8.29000000000002
0.82,359.39,7.62,8.23,359.39,8.230000000000018
0.83,359.48,7.62,8.14,359.48,8.139999999999986
0.84,359.57,7.62,8.05,359.57,8.050000000000011
0.85,359.53,7.62,8.09,359.53,8.090000000000032
0.86,359.47,7.62,8.15,359.47,8.149999999999977
0.87,359.53,7.62,8.09,359.53,8.090000000000032
0.88,359.62,7.62,8.0,359.62,8.0
0.89,359.68,7.62,7.94,359.68,7.939999999999998
1.42,359.71,7.62,7.91,359.71,7.910000000000025
1.42,359.73,7.62,7.89,359.73,7.889999999999986
1.42,359.72,7.62,7.9,359.72,7.899999999999977
1.43,359.72,7.62,7.9,359.72,7.899999999999977
1.43,359.71,7.62,7.91,359.71,7.910000000000025
1.43,359.71,7.62,7.91,359.71,7.910000000000025
1.43,359.7,7.62,7.92,359.7,7.920000000000016
1.43,359.69,7.62,7.93,359.69,7.930000000000007
1.43,359.67,7.62,7.95,359.67,7.949999999999989
1.43,359.64,7.62,7.98,359.64,7.980000000000018
1.43,359.58,7.62,8.04,359.58,8.04000000000002
1.43,359.51,7.62,8.11,359.51,8.110000000000014
1.43,359.32,7.62,8.3,359.32,8.300000000000011
1.44,359.22,7.62,8.4,359.22,8.399999999999977
1.44,359.14,7.62,8.48,359.14,8.480000000000018
1.44,359.07,7.62,8.55,359.07,8.550000000000011
1.44,359.01,7.62,8.61,359.01,8.610000000000014
1.44,358.95,7.62,8.67,358.95,8.670000000000016
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.44,358.93,7.62,8.69,358.93,8.689999999999998
1.45,358.92,7.62,8.7,358.92,8.699999999999989
1.45,358.92,7.62,8.7,358.92,8.699999999999989
1.45,358.94,7.62,8.68,358.94,8.680000000000007
1.45,358.95,7.62,8.67,358.95,8.670000000000016
1.45,358.97,7.62,8.65,358.97,8.649999999999977
1.45,358.98,7.62,8.64,358.98,8.639999999999986
1.45,359.0,7.62,8.62,359.0,8.620000000000005
1.45,359.01,7.62,8.61,359.01,8.610000000000014
1.45,359.04,7.62,8.58,359.04,8.579999999999984
1.45,359.06,7.62,8.56,359.06,8.560000000000002
1.46,359.09,7.62,8.53,359.09,8.53000000000003
1.46,359.13,7.62,8.49,359.13,8.490000000000009
1.46,359.18,7.62,8.44,359.18,8.439999999999998
1.46,359.31,7.62,8.31,359.31,8.310000000000002
1.46,359.38,7.62,8.24,359.38,8.240000000000009
1.46,359.46,7.62,8.16,359.46,8.160000000000025
1.46,359.53,7.62,8.09,359.53,8.090000000000032
1.46,359.59,7.62,8.03,359.59,8.03000000000003
1.46,359.68,7.62,7.94,359.68,7.939999999999998
1.46,359.71,7.62,7.91,359.71,7.910000000000025
1.46,359.74,7.62,7.88,359.74,7.8799999999999955
1.46,359.77,7.62,7.85,359.77,7.850000000000023
1.47,359.8,7.62,7.82,359.8,7.819999999999993
1.47,359.84,7.62,7.78,359.84,7.78000000000003
1.47,359.86,7.62,7.76,359.86,7.759999999999991
1.47,359.87,7.62,7.75,359.87,7.75
1.47,359.88,7.62,7.74,359.88,7.740000000000009
1.47,359.89,7.62,7.73,359.89,7.730000000000018
1.47,359.9,7.62,7.72,359.9,7.720000000000027
1.47,359.91,7.62,7.71,359.91,7.7099999999999795
1.47,359.93,7.62,7.69,359.93,7.689999999999998
1.47,359.94,7.62,7.68,359.94,7.680000000000007
1.47,359.95,7.62,7.67,359.95,7.670000000000016
1.48,359.95,7.62,7.67,359.95,7.670000000000016
1.49,359.91,7.62,7.71,359.91,7.7099999999999795
1.5,359.88,7.62,7.74,359.88,7.740000000000009
1.51,359.83,7.62,7.79,359.83,7.7900000000000205
1.52,359.78,7.62,7.84,359.78,7.840000000000032
1.53,359.72,7.62,7.9,359.72,7.899999999999977
1.54,359.61,7.62,8.01,359.61,8.009999999999991
1.58,359.56,7.62,8.06,359.56,8.060000000000002
1.58,359.51,7.62,8.11,359.51,8.110000000000014
1.59,359.46,7.62,8.16,359.46,8.160000000000025
1.59,359.41,7.62,8.21,359.41,8.20999999999998
1.59,359.32,7.62,8.3,359.32,8.300000000000011
1.6,359.27,7.62,8.35,359.27,8.350000000000023
1.61,359.23,7.62,8.39,359.23,8.389999999999986
1.62,359.2,7.62,8.42,359.2,8.420000000000016
1.64,359.18,7.62,8.44,359.18,8.439999999999998
1.64,359.17,7.62,8.45,359.17,8.449999999999989
1.65,359.18,7.62,8.44,359.18,8.439999999999998
1.66,359.19,7.62,8.43,359.19,8.430000000000007
1.67,359.21,7.62,8.41,359.21,8.410000000000025
1.68,359.23,7.62,8.39,359.23,8.389999999999986
1.69,359.24,7.62,8.38,359.24,8.379999999999995
1.7,359.24,7.62,8.38,359.24,8.379999999999995
1.71,359.23,7.62,8.39,359.23,8.389999999999986
1.72,359.21,7.62,8.41,359.21,8.410000000000025
1.73,359.19,7.62,8.43,359.19,8.430000000000007
1.74,359.17,7.62,8.45,359.17,8.449999999999989
1.75,359.12,7.62,8.5,359.12,8.5
1.76,359.1,7.62,8.52,359.1,8.519999999999982
1.77,359.08,7.62,8.54,359.08,8.54000000000002
1.78,359.08,7.62,8.54,359.08,8.54000000000002
1.8,359.07,7.62,8.55,359.07,8.550000000000011
1.8,359.05,7.62,8.57,359.05,8.569999999999993
1.81,359.02,7.62,8.6,359.02,8.600000000000023
1.82,358.99,7.62,8.63,358.99,8.629999999999995
1.83,358.94,7.62,8.68,358.94,8.680000000000007
1.84,358.89,7.62,8.73,358.89,8.730000000000018
1.85,358.79,7.62,8.83,358.79,8.829999999999984
1.86,358.75,7.62,8.87,358.75,8.870000000000005
1.87,358.73,7.62,8.89,358.73,8.889999999999986
1.88,358.73,7.62,8.89,358.73,8.889999999999986
1.89,358.73,7.62,8.89,358.73,8.889999999999986
1.9,358.76,7.62,8.86,358.76,8.860000000000014
1.91,358.77,7.62,8.85,358.77,8.850000000000023
1.92,358.78,7.62,8.84,358.78,8.840000000000032
1.93,358.8,7.62,8.82,358.8,8.819999999999993
1.94,358.82,7.62,8.8,358.82,8.800000000000011
1.95,358.86,7.62,8.76,358.86,8.759999999999991
1.96,358.94,7.62,8.68,358.94,8.680000000000007
1.98,358.99,7.62,8.63,358.99,8.629999999999995
1.98,359.05,7.62,8.57,359.05,8.569999999999993
1.99,359.11,7.62,8.51,359.11,8.509999999999991
2.0,359.15,7.62,8.47,359.15,8.470000000000027
2.01,359.21,7.62,8.41,359.21,8.410000000000025
2.02,359.23,7.62,8.39,359.23,8.389999999999986
2.03,359.23,7.62,8.39,359.23,8.389999999999986
2.04,359.21,7.62,8.41,359.21,8.410000000000025
2.05,359.18,7.62,8.44,359.18,8.439999999999998
2.06,359.1,7.62,8.52,359.1,8.519999999999982
2.07,359.06,7.62,8.56,359.06,8.560000000000002
2.08,359.01,7.62,8.61,359.01,8.610000000000014
2.09,358.97,7.62,8.65,358.97,8.649999999999977
2.1,358.93,7.62,8.69,358.93,8.689999999999998
2.11,358.87,7.62,8.75,358.87,8.75
2.12,358.84,7.62,8.78,358.84,8.78000000000003
2.13,358.83,7.62,8.79,358.83,8.79000000000002
2.14,358.81,7.62,8.81,358.81,8.810000000000002
2.15,358.81,7.62,8.81,358.81,8.810000000000002
2.16,358.78,7.62,8.84,358.78,8.840000000000032
2.17,358.76,7.62,8.86,358.76,8.860000000000014
2.18,358.73,7.62,8.89,358.73,8.889999999999986
2.19,358.71,7.62,8.91,358.71,8.910000000000025
2.2,358.69,7.62,8.93,358.69,8.930000000000007
2.21,358.67,7.62,8.95,358.67,8.949999999999989
2.22,358.67,7.62,8.95,358.67,8.949999999999989
2.23,358.68,7.62,8.94,358.68,8.939999999999998
2.24,358.71,7.62,8.91,358.71,8.910000000000025
2.25,358.76,7.62,8.86,358.76,8.860000000000014
2.26,358.82,7.62,8.8,358.82,8.800000000000011
2.28,358.98,7.62,8.64,358.98,8.639999999999986
2.28,359.06,7.62,8.56,359.06,8.560000000000002
2.3,359.14,7.62,8.48,359.14,8.480000000000018
2.3,359.2,7.62,8.42,359.2,8.420000000000016
2.32,359.24,7.62,8.38,359.24,8.379999999999995
2.32,359.3,7.62,8.32,359.3,8.319999999999993
2.33,359.32,7.62,8.3,359.32,8.300000000000011
2.34,359.34,7.62,8.28,359.34,8.28000000000003
2.35,359.36,7.62,8.26,359.36,8.259999999999991
2.36,359.39,7.62,8.23,359.39,8.230000000000018
2.38,359.43,7.62,8.19,359.43,8.189999999999998
2.38,359.45,7.62,8.17,359.45,8.170000000000016
2.39,359.46,7.62,8.16,359.46,8.160000000000025
2.4,359.47,7.62,8.15,359.47,8.149999999999977
2.41,359.48,7.62,8.14,359.48,8.139999999999986
2.42,359.47,7.62,8.15,359.47,8.149999999999977
2.43,359.46,7.62,8.16,359.46,8.160000000000025
2.44,359.45,7.62,8.17,359.45,8.170000000000016
2.46,359.45,7.62,8.17,359.45,8.170000000000016
2.46,359.46,7.62,8.16,359.46,8.160000000000025
2.48,359.48,7.62,8.14,359.48,8.139999999999986
2.48,359.53,7.62,8.09,359.53,8.090000000000032
2.49,359.56,7.62,8.06,359.56,8.060000000000002
2.5,359.59,7.62,8.03,359.59,8.03000000000003
2.51,359.62,7.62,8.0,359.62,8.0
2.52,359.65,7.62,7.97,359.65,7.970000000000027
2.54,359.71,7.62,7.91,359.71,7.910000000000025
2.54,359.74,7.62,7.88,359.74,7.8799999999999955
2.55,359.77,7.62,7.85,359.77,7.850000000000023
2.56,359.79,7.62,7.83,359.79,7.829999999999984
2.58,359.81,7.62,7.81,359.81,7.810000000000002
2.58,359.85,7.62,7.77,359.85,7.769999999999982
2.59,359.86,7.62,7.76,359.86,7.759999999999991
2.6,359.87,7.62,7.75,359.87,7.75
2.62,359.88,7.62,7.74,359.88,7.740000000000009
2.62,359.89,7.62,7.73,359.89,7.730000000000018
2.63,359.92,7.62,7.7,359.92,7.699999999999989
2.64,359.93,7.62,7.69,359.93,7.689999999999998
2.65,359.94,7.62,7.68,359.94,7.680000000000007
2.66,359.93,7.62,7.69,359.93,7.689999999999998
2.67,359.92,7.62,7.7,359.92,7.699999999999989
2.68,359.89,7.62,7.73,359.89,7.730000000000018
2.7,359.87,7.62,7.75,359.87,7.75
2.7,359.84,7.62,7.78,359.84,7.78000000000003
2.71,359.81,7.62,7.81,359.81,7.810000000000002
2.72,359.78,7.62,7.84,359.78,7.840000000000032
2.73,359.75,7.62,7.87,359.75,7.8700000000000045
2.74,359.69,7.62,7.93,359.69,7.930000000000007
2.75,359.66,7.62,7.96,359.66,7.9599999999999795
2.76,359.62,7.62,8.0,359.62,8.0
2.78,359.57,7.62,8.05,359.57,8.050000000000011
2.78,359.52,7.62,8.1,359.52,8.100000000000023
2.79,359.41,7.62,8.21,359.41,8.20999999999998
2.8,359.35,7.62,8.27,359.35,8.269999999999982
2.81,359.3,7.62,8.32,359.3,8.319999999999993
2.82,359.25,7.62,8.37,359.25,8.370000000000005
2.83,359.21,7.62,8.41,359.21,8.410000000000025
2.84,359.14,7.62,8.48,359.14,8.480000000000018
2.86,359.12,7.62,8.5,359.12,8.5
2.86,359.1,7.62,8.52,359.1,8.519999999999982
2.88,359.09,7.62,8.53,359.09,8.53000000000003
2.88,359.09,7.62,8.53,359.09,8.53000000000003
2.89,359.08,7.62,8.54,359.08,8.54000000000002
2.9,359.08,7.62,8.54,359.08,8.54000000000002
2.91,359.09,7.62,8.53,359.09,8.53000000000003
2.92,359.09,7.62,8.53,359.09,8.53000000000003
2.94,359.1,7.62,8.52,359.1,8.519999999999982
2.94,359.11,7.62,8.51,359.11,8.509999999999991
2.95,359.13,7.62,8.49,359.13,8.490000000000009
2.96,359.16,7.62,8.46,359.16,8.45999999999998
2.97,359.19,7.62,8.43,359.19,8.430000000000007
2.98,359.23,7.62,8.39,359.23,8.389999999999986
2.99,359.28,7.62,8.34,359.28,8.340000000000032
3.0,359.4,7.62,8.22,359.4,8.220000000000027
3.01,359.46,7.62,8.16,359.46,8.160000000000025
3.02,359.53,7.62,8.09,359.53,8.090000000000032
3.03,359.6,7.62,8.02,359.6,8.019999999999982
3.04,359.67,7.62,7.95,359.67,7.949999999999989
3.05,359.79,7.62,7.83,359.79,7.829999999999984
3.06,359.85,7.62,7.77,359.85,7.769999999999982
3.07,359.9,7.62,7.72,359.9,7.720000000000027
3.08,359.94,7.62,7.68,359.94,7.680000000000007
3.1,359.98,7.62,7.64,359.98,7.639999999999986
3.1,0.05,7.62,7.57,0.05,7.57
3.11,0.08,7.62,7.54,0.08,7.54
3.12,0.1,7.62,7.52,0.1,7.5200000000000005
3.13,0.12,7.62,7.5,0.12,7.5
3.14,0.12,7.62,7.5,0.12,7.5
3.15,0.1,7.62,7.52,0.1,7.5200000000000005
3.16,0.08,7.62,7.54,0.08,7.54
3.17,0.05,7.62,7.57,0.05,7.57
3.18,0.02,7.62,7.6,0.02,7.6000000000000005
3.19,359.99,7.62,7.63,359.99,7.6299999999999955
3.2,359.93,7.62,7.69,359.93,7.689999999999998
3.21,359.9,7.62,7.72,359.9,7.720000000000027
3.22,359.89,7.62,7.73,359.89,7.730000000000018
3.23,359.88,7.62,7.74,359.88,7.740000000000009
3.24,359.88,7.62,7.74,359.88,7.740000000000009
3.25,359.88,7.62,7.74,359.88,7.740000000000009
3.26,359.9,7.62,7.72,359.9,7.720000000000027
3.27,359.92,7.62,7.7,359.92,7.699999999999989
3.28,359.94,7.62,7.68,359.94,7.680000000000007
3.29,359.97,7.62,7.65,359.97,7.649999999999977
3.3,360.0,7.62,7.62,360.0,7.62
3.31,0.06,7.62,7.56,0.06,7.5600000000000005
3.32,0.09,7.62,7.53,0.09,7.53
3.33,0.12,7.62,7.5,0.12,7.5
3.34,0.16,7.62,7.46,0.16,7.46
3.35,0.2,7.62,7.42,0.2,7.42
3.36,0.28,7.62,7.34,0.28,7.34
3.37,0.32,7.62,7.3,0.32,7.3
3.38,0.35,7.62,7.27,0.35,7.2700000000000005
3.39,0.39,7.62,7.23,0.39,7.23
3.4,0.41,7.62,7.21,0.41,7.21
3.41,0.44,7.62,7.18,0.44,7.18
3.42,0.45,7.62,7.17,0.45,7.17
3.43,0.46,7.62,7.16,0.46,7.16
3.44,0.47,7.62,7.15,0.47,7.15
3.45,0.48,7.62,7.14,0.48,7.140000000000001
3.46,0.51,7.62,7.11,0.51,7.11
3.47,0.52,7.62,7.1,0.52,7.1
3.48,0.54,7.62,7.08,0.54,7.08
3.49,0.56,7.62,7.06,0.56,7.0600000000000005
3.5,0.58,7.62,7.04,0.58,7.04
3.51,0.58,7.62,7.04,0.58,7.04
3.52,0.53,7.62,7.09,0.53,7.09
3.53,0.5,7.62,7.12,0.5,7.12
3.54,0.45,7.62,7.17,0.45,7.17
3.55,0.4,7.62,7.22,0.4,7.22
3.56,0.37,7.62,7.25,0.37,7.25
3.57,0.31,7.62,7.31,0.31,7.3100000000000005
3.58,0.29,7.62,7.33,0.29,7.33
3.59,0.25,7.62,7.37,0.25,7.37
3.6,0.19,7.62,7.43,0.19,7.43
3.61,0.11,7.62,7.51,0.11,7.51
3.62,359.97,7.62,7.65,359.97,7.649999999999977
3.63,359.9,7.62,7.72,359.9,7.720000000000027
3.64,359.83,7.62,7.79,359.83,7.7900000000000205
3.65,359.78,7.62,7.84,359.78,7.840000000000032
3.66,359.73,7.62,7.89,359.73,7.889999999999986
3.67,359.68,7.62,7.94,359.68,7.939999999999998
3.68,359.68,7.62,7.94,359.68,7.939999999999998
3.69,359.69,7.62,7.93,359.69,7.930000000000007
3.7,359.71,7.62,7.91,359.71,7.910000000000025
3.71,359.75,7.62,7.87,359.75,7.8700000000000045
3.72,359.78,7.62,7.84,359.78,7.840000000000032
3.73,359.82,7.62,7.8,359.82,7.800000000000011
3.74,359.81,7.62,7.81,359.81,7.810000000000002
3.75,359.81,7.62,7.81,359.81,7.810000000000002
3.76,359.83,7.62,7.79,359.83,7.7900000000000205
3.77,359.86,7.62,7.76,359.86,7.759999999999991
3.78,359.94,7.62,7.68,359.94,7.680000000000007
3.79,359.98,7.62,7.64,359.98,7.639999999999986
3.8,0.0,7.62,7.62,0.0,7.62
3.81,0.01,7.62,7.61,0.01,7.61
3.82,0.01,7.62,7.61,0.01,7.61
3.83,0.0,7.62,7.62,0.0,7.62
3.84,360.0,7.62,7.62,360.0,7.62
3.85,360.0,7.62,7.62,360.0,7.62
3.86,359.99,7.62,7.63,359.99,7.6299999999999955
3.87,359.98,7.62,7.64,359.98,7.639999999999986
3.88,359.94,7.62,7.68,359.94,7.680000000000007
3.89,359.91,7.62,7.71,359.91,7.7099999999999795
3.9,359.89,7.62,7.73,359.89,7.730000000000018
3.91,359.88,7.62,7.74,359.88,7.740000000000009
3.92,359.89,7.62,7.73,359.89,7.730000000000018
3.93,359.96,7.62,7.66,359.96,7.660000000000025
3.94,0.01,7.62,7.61,0.01,7.61
3.95,0.06,7.62,7.56,0.06,7.5600000000000005
3.96,0.12,7.62,7.5,0.12,7.5
3.97,0.15,7.62,7.47,0.15,7.47
3.98,0.16,7.62,7.46,0.16,7.46
3.99,0.14,7.62,7.48,0.14,7.48
4.0,0.07,7.62,7.55,0.07,7.55
4.01,0.01,7.62,7.61,0.01,7.61
4.02,359.98,7.62,7.64,359.98,7.639999999999986
4.03,359.96,7.62,7.66,359.96,7.660000000000025
4.04,359.94,7.62,7.68,359.94,7.680000000000007
4.05,359.93,7.62,7.69,359.93,7.689999999999998
4.06,359.92,7.62,7.7,359.92,7.699999999999989
4.07,359.92,7.62,7.7,359.92,7.699999999999989
4.08,359.91,7.62,7.71,359.91,7.7099999999999795
4.09,359.89,7.62,7.73,359.89,7.730000000000018
4.1,359.88,7.62,7.74,359.88,7.740000000000009
4.11,359.88,7.62,7.74,359.88,7.740000000000009
4.12,359.89,7.62,7.73,359.89,7.730000000000018
4.13,359.91,7.62,7.71,359.91,7.7099999999999795
4.14,359.95,7.62,7.67,359.95,7.670000000000016
4.15,359.96,7.62,7.66,359.96,7.660000000000025
4.16,359.96,7.62,7.66,359.96,7.660000000000025
4.18,359.96,7.62,7.66,359.96,7.660000000000025
4.18,359.98,7.62,7.64,359.98,7.639999999999986
4.19,0.03,7.62,7.59,0.03,7.59
4.2,0.08,7.62,7.54,0.08,7.54
4.21,0.14,7.62,7.48,0.14,7.48
4.22,0.23,7.62,7.39,0.23,7.39
4.23,0.3,7.62,7.32,0.3,7.32
4.24,0.36,7.62,7.26,0.36,7.26
4.25,0.5,7.62,7.12,0.5,7.12
4.26,0.56,7.62,7.06,0.56,7.0600000000000005
4.27,0.61,7.62,7.01,0.61,7.01
4.28,0.64,7.62,6.98,0.64,6.98
4.29,0.66,7.62,6.96,0.66,6.96
4.3,0.68,7.62,6.94,0.68,6.94
4.31,0.69,7.62,6.93,0.69,6.93
4.32,0.69,7.62,6.93,0.69,6.93
4.33,0.67,7.62,6.95,0.67,6.95
4.34,0.64,7.62,6.98,0.64,6.98
4.35,0.55,7.62,7.07,0.55,7.07
4.36,0.49,7.62,7.13,0.49,7.13
4.37,0.43,7.62,7.19,0.43,7.19
4.38,0.38,7.62,7.24,0.38,7.24
4.39,0.35,7.62,7.27,0.35,7.2700000000000005
4.4,0.32,7.62,7.3,0.32,7.3
4.41,0.33,7.62,7.29,0.33,7.29
4.42,0.35,7.62,7.27,0.35,7.2700000000000005
4.43,0.38,7.62,7.24,0.38,7.24
4.44,0.42,7.62,7.2,0.42,7.2
4.45,0.51,7.62,7.11,0.51,7.11
4.46,0.56,7.62,7.06,0.56,7.0600000000000005
4.47,0.62,7.62,7.0,0.62,7.0
4.48,0.69,7.62,6.93,0.69,6.93
4.49,0.73,7.62,6.89,0.73,6.890000000000001
4.5,0.77,7.62,6.85,0.77,6.85
4.51,0.73,7.62,6.89,0.73,6.890000000000001
4.52,0.68,7.62,6.94,0.68,6.94
4.53,0.63,7.62,6.99,0.63,6.99
4.54,0.57,7.62,7.05,0.57,7.05
4.55,0.5,7.62,7.12,0.5,7.12
4.56,0.36,7.62,7.26,0.36,7.26
4.57,0.29,7.62,7.33,0.29,7.33
4.58,0.22,7.62,7.4,0.22,7.4
4.59,0.15,7.62,7.47,0.15,7.47
4.6,0.08,7.62,7.54,0.08,7.54
4.61,359.96,7.62,7.66,359.96,7.660000000000025
4.62,359.91,7.62,7.71,359.91,7.7099999999999795
4.63,359.88,7.62,7.74,359.88,7.740000000000009
4.64,359.86,7.62,7.76,359.86,7.759999999999991
4.65,359.85,7.62,7.77,359.85,7.769999999999982
4.66,359.85,7.62,7.77,359.85,7.769999999999982
4.67,359.86,7.62,7.76,359.86,7.759999999999991
4.68,359.89,7.62,7.73,359.89,7.730000000000018
4.69,359.94,7.62,7.68,359.94,7.680000000000007
4.7,0.03,7.62,7.59,0.03,7.59
4.71,0.18,7.62,7.44,0.18,7.44
4.72,0.23,7.62,7.39,0.23,7.39
4.73,0.26,7.62,7.36,0.26,7.36
4.74,0.27,7.62,7.35,0.27,7.35
4.75,0.27,7.62,7.35,0.27,7.35
4.76,0.25,7.62,7.37,0.25,7.37
4.77,0.2,7.62,7.42,0.2,7.42
4.78,0.17,7.62,7.45,0.17,7.45
4.79,0.14,7.62,7.48,0.14,7.48
4.8,0.1,7.62,7.52,0.1,7.5200000000000005
4.81,0.06,7.62,7.56,0.06,7.5600000000000005
4.82,359.98,7.62,7.64,359.98,7.639999999999986
4.83,359.94,7.62,7.68,359.94,7.680000000000007
4.84,359.89,7.62,7.73,359.89,7.730000000000018
4.85,359.84,7.62,7.78,359.84,7.78000000000003
4.86,359.78,7.62,7.84,359.78,7.840000000000032
4.87,359.66,7.62,7.96,359.66,7.9599999999999795
4.88,359.61,7.62,8.01,359.61,8.009999999999991
4.89,359.57,7.62,8.05,359.57,8.050000000000011
4.9,359.54,7.62,8.08,359.54,8.079999999999984
4.91,359.53,7.62,8.09,359.53,8.090000000000032
4.92,359.54,7.62,8.08,359.54,8.079999999999984
4.93,359.56,7.62,8.06,359.56,8.060000000000002
4.94,359.58,7.62,8.04,359.58,8.04000000000002
4.95,359.6,7.62,8.02,359.6,8.019999999999982
4.96,359.63,7.62,7.99,359.63,7.990000000000009
4.97,359.67,7.62,7.95,359.67,7.949999999999989
4.98,359.66,7.62,7.96,359.66,7.9599999999999795
4.99,359.63,7.62,7.99,359.63,7.990000000000009
5.0,359.59,7.62,8.03,359.59,8.03000000000003
5.01,359.56,7.62,8.06,359.56,8.060000000000002
5.02,359.53,7.62,8.09,359.53,8.090000000000032
5.04,359.53,7.62,8.09,359.53,8.090000000000032
5.04,359.54,7.62,8.08,359.54,8.079999999999984
5.05,359.57,7.62,8.05,359.57,8.050000000000011
5.06,359.6,7.62,8.02,359.6,8.019999999999982
5.07,359.63,7.62,7.99,359.63,7.990000000000009
5.08,359.68,7.62,7.94,359.68,7.939999999999998
5.09,359.71,7.62,7.91,359.71,7.910000000000025
